fare_id,route_id,origin_id,destination_id,contains_id
1-A,1-A,,,
1-B,1-B,,,
2-A,2-A,,,
2-B,2-B,,,
3-A,3-A,,,
4-A,4-A,,,
4-B,4-B,,,
5-A,5-A,,,
6-A,6-A,,,
7-A,7-A,,,
7-B,7-B,,,
8-A,8-A,,,
9-B,9-B,,,
9-C,9-C,,,
10-A,10-A,,,
11-B,11-B,,,
11-C,11-C,,,
12-A,12-A,,,
13-A,13-A,,,
14-A,14-A,,,
15-A,15-A,,,
16-A,16-A,,,
17-A,17-A,,,
18-A,18-A,,,
19-A,19-A,,,
20-A,20-A,,,
21-A,21-A,,,
22-A,22-A,,,
23-A,23-A,,,
24-A,24-A,,,
24-B,24-B,,,
25-A,25-A,,,
26-A,26-A,,,
26-B,26-B,,,
27-A,27-A,,,
28-A,28-A,,,
29-A,29-A,,,
30-A,30-A,,,
31-A,31-A,,,
31-B,31-B,,,
31-C,31-C,,,
31-D,31-D,,,
32-A,32-A,,,
32-B,32-B,,,
33-A,33-A,,,
34-A,34-A,,,
34-B,34-B,,,
35-A,35-A,,,
36-A,36-A,,,
36-B,36-B,,,
37-A,37-A,,,
38-A,38-A,,,
38-B,38-B,,,
39-A,39-A,,,
40-A,40-A,,,
41-A,41-A,,,
42-A,42-A,,,
43-A,43-A,,,
43-B,43-B,,,
44-A,44-A,,,
44-B,44-B,,,
45-A,45-A,,,
46-A,46-A,,,
46-B,46-B,,,
47-A,47-A,,,
47-B,47-B,,,
48-A,48-A,,,
48-B,48-B,,,
48-C,48-C,,,
50-A,50-A,,,
51-A,51-A,,,
52-A,52-A,,,
53-A,53-A,,,
54-A,54-A,,,
55-A,55-A,,,
56-A,56-A,,,
57-A,57-A,,,
57-B,57-B,,,
58-A,58-A,,,
59-A,59-A,,,
59-B,59-B,,,
60-A,60-A,,,
61-A,61-A,,,
63-A,63-A,,,
63-B,63-B,,,
64-A,64-A,,,
64-B,64-B,,,
65-A,65-A,,,
66-A,66-A,,,
67-A,67-A,,,
68-A,68-A,,,
69-A,69-A,,,
70-A,70-A,,,
71-A,71-A,,,
72-A,72-A,,,
74-A,74-A,,,
75-A,75-A,,,
76-A,76-A,,,
76-B,76-B,,,
77-A,77-A,,,
79-A,79-A,,,
80-A,80-A,,,
81-A,81-A,,,
82-A,82-A,,,
82-B,82-B,,,
83-A,83-A,,,
84-B,84-B,,,
84-C,84-C,,,
84-D,84-D,,,
84-E,84-E,,,
86-A,86-A,,,
87-A,87-A,,,
88-A,88-A,,,
89-A,89-A,,,
90-A,90-A,,,
91-A,91-A,,,
92-A,92-A,,,
92-B,92-B,,,
93-A,93-A,,,
94-A,94-A,,,
94-B,94-B,,,
94-C,94-C,,,
94-D,94-D,,,
95-A,95-A,,,
96-A,96-A,,,
97-A,97-A,,,
97-B,97-B,,,
97-C,97-C,,,
97-D,97-D,,,
97-E,97-E,,,
98-A,98-A,,,
99-A,99-A,,,
101-A,101-A,,,
102-A,102-A,,,
103-A,103-A,,,
104-A,104-A,,,
104-B,104-B,,,
104-C,104-C,,,
105-A,105-A,,,
106-A,106-A,,,
107-A,107-A,,,
108-A,108-A,,,
109-A,109-A,,,
110-A,110-A,,,
111-A,111-A,,,
112-A,112-A,,,
113-A,113-A,,,
114-A,114-A,,,
115-A,115-A,,,
116-A,116-A,,,
117-A,117-A,,,
123-A,123-A,,,
124-A,124-A,,,
124-B,124-B,,,
125-A,125-A,,,
150-A,150-A,,,
150-B,150-B,,,
151-A,151-A,,,
