stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1000a,Babadağı,,37.866175,32.5275417,,
1000d,Babadağı,,37.8661833,32.5274333,,
1001a,Taşkın Paşa,,37.863103,32.528414,,
1001d,Taşkın Paşa,,37.863067,32.52823719,,
1002a,Tütüncü,,37.8623417,32.52647,,
1002d,Tütüncü,,37.8625083,32.52643,,
1003a,Çayır Cami,,37.861663,32.530603,,
1003d,Çayır Cami,,37.86186,32.530716,,
1004a,Şirineli,,37.861214,32.533907,,
1004d,Şirineli,,37.86139,32.533929,,
1005a,Akgöl,,37.860929,32.536343,,
1005d,Akgöl,,37.8610267,32.53664,,
1006a,Cemil Çiçek,,37.86055,32.54037,,
1006d,Cemil Çiçek,,37.86075,32.54038,,
1007a,Gufran,,37.870287,32.535682,,
1007d,Gufran,,37.870245,32.535339,,
1008a,Adalet Sarayı,,37.8607083,32.54321,,
1008d,Adalet Sarayı,,37.8607167,32.54282,,
1009a,Yeniceler,,37.866588,32.543497,,
1009d,Yeniceler,,37.866579,32.543247,,
100a,Babil,,37.866743,32.475161,,
100d,Babil,,37.866737,32.475065,,
1010a,Akyokuş Kasrı,,37.879772,32.424767,,
1011a,Özbaşak,,37.8670167,32.5373,,
1011d,Özbaşak,,37.8669333,32.53732,,
1012a,Çifteler,,37.866925,32.53371,,
1012d,Çifteler,,37.86685,32.53368,,
1013a,Adalet Konutları,,37.8668084,32.53018,,
1013d,Adalet Konutları,,37.8667583,32.53008,,
1014a,Gaziler Derneği,,37.870606,32.510153,,
1014d,Gaziler Derneği,,37.872233,32.507606,,
1015d,Namık Paşa Cami,,37.871418,32.511983,,
1016a,Mevlana Kültür Merkezi,,37.8704,32.51578,,
1016d,Mevlana Kültür Merkezi,,37.8706,32.51588,,
1017a,Adile Sultan,,37.8703167,32.51942,,
1017d,Adile Sultan,,37.8705167,32.51942,,
1018a,Hacı Kalfa,,37.8700833,32.52402,,
1018d,Hacı Kalfa,,37.8702833,32.52397,,
1019a,Zeliha Seymen İlkokulu,,37.8696334,32.52813,,
1019d,Zeliha Seymen İlkokulu,,37.8698333,32.52809,,
101a,Havzan,,37.8674493,32.472535,,
101d,Havzan,,37.8674833,32.4725333,,
1020a,Spor Ve Kongre Merkezi,,37.8688333,32.53452,,
1020d,Spor Ve Kongre Merkezi,,37.86905,32.53408,,
1021a,Nefer,,37.8687167,32.53845,,
1021d,Nefer,,37.8689167,32.53847,,
1022a,Akraba,,37.868767,32.544158,,
1022d,Akraba,,37.868993,32.544142,,
1023a,İnebahtı,,37.868523,32.544614,,
1024a,Tiftikci (e),,37.8689167,32.5518,,
1024d,Tiftikci (e),,37.86915,32.55163,,
1025a,Hobi Bahçesi,,37.868525,32.55476,,
1025d,Hobi Bahçesi,,37.8687334,32.55482,,
1026a,Uluyatır,,37.86805,32.55789,,
1026d,Uluyatır,,37.868225,32.55839,,
